,english_premise,english_hypothesis,english_label
6313,You did not understand that he believed Mademoiselle Cynthia guilty of the crime?,You were unaware that he thought Mademoiselle Cynthia was guilty?,0
6314,"In the same issue, a document entitled Analysis Regarding The Food And Drug Administration's Jurisdiction Over Nicotine-Containing Cigarettes And Smokeless Tobacco Products was published and comments were requested.",A document was published about the FDA's jurisdiction over cigarettes and comments were not allowed.,2
6315,and I'm not a Negro tonight!,I am white.,1
6316,um-hum yeah i know what that's like uh-huh,I have no idea what that is like.,2
6317,"It was the heyday of the brilliant but lethal Spanish-Italian  lecherous Rodrigo, who became Pope Alexander VI, and treacherous son Cesare, who stopped at nothing to control and expand the papal lands.",Rodrigo never became pope and was childless.,2
6318,They greeted her and she smiled shyly back.,"They said ""Hello!"" when they saw her.",1
6319,"Against his own advice, Ca'daan dared to stare off the edge once as they neared the end.",Ca'daan did not follow his own advice.,0
6320,"She has believed that the sleeping draught she administered was perfectly harmless, but there is no doubt that for one terrible moment she must have feared that Mrs. Inglethorp's death lay at her door. ","The sleeping draught was not harmless, as it gave her violent diarrhoea.",1
6321,"Since there is no airport on the island, all visitors must arrive at the port, Skala, where most of the hotels are located and all commercial activity is carried out.",The best way to get onto the island is by plane.,2
6322,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.",The picnic area is set alongside a stream.,0
6323,"From the inventories of the initiatives they developed in response to our request, we asked agency officials to identify those agency components and initiatives that, in their view, had successfully involved and empowered employees.",Agency officials need to identify the components that helped them.,0
6324,"Information is the resource-extractive industry of the next century, and the concept of intellectual property --a term that dates back 150 years--comes up when individuals or companies assert a particular claim and embody it in the form of copyrights, trademarks, and patents.","Copyrights, trademarks, and patents don't always protect you from intellectual property theft.",1
6325," The Garden Island is lush with botanical estates and Waimea Canyon, the grand Canyon of the Pacific .",There are many flowers to be found on the estates on The Garden Island.,0
6326,Or anything else you wanted and couldn't keep against magic.,Magic had little power. ,2
6327,"Julius before the safe in the flat, her own question and the pause before his reply, ""Nothing."" Was there really nothing? ","Julius paused for a while, before answering her.",0
6328,"New York Times Book Review Editor Charles McGrath, a former deputy to William Shawn at the New Yorker , calls Lillian Ross' memoir about her affair with Shawn on occasion factually inaccurate or misleading and a betrayal of Shawn's high editorial principles.",McGrath simply wanted to help protect his friend. ,1
6329,"In 1995 and again in 1998, the Legal Services Corporation recognized that legal services programs were going to have to change the method and manner in which they conducted their business if they were going to remain viable and responsive to the needs of low income persons.",Low income persons have very difficult needs to meet.,1
6330,i tell you what i would not i would not buy a car that had the seat belt where it was hooked under the door,I used to own a car with the seat belts there.,1
6331,i can believe i can believe that,That's something that's believable.,0
6332,"Yes, undoubtedly the hand of Mr. Brown! Mr. Carter paused.",There is no doubt that hand belongs to Mr. Brown.,0
6333,"While documenting the basis for judgments can be more difficult than documenting nonjudgmental information, overall the chain of evidence or audit trail techniques should not pose any greater difficulty for GAO evaluators than our documentation procedures for other evaluation methods.",GAO evaluators are trained to analyze and document the chain of evidence.,1
6334,Her eyes flashed continually from one window to the other.,She was looking intently at the one window in front of her.,2
6335,They crossed the Forth from Dunfermline at the narrows known to this day as Queensferry.,The narrows were renamed from Queensferry to Kingsferry.,2
6336,yeah well that's the other thing you know they talk about women leaving the home and going out to work well still taking care of the children is a very important job and and someone's got to do it and be able to do it right and,Traditional gender roles were correct all along.,1
6337,"Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.",A good number of nation officials in Chicago are Jewish.,1
